stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
latent,latent_ch0,0,-0.565259,1.4973,-0.37752,0.706854,0.800684,False
latent,latent_ch1,1,0.56456,1.67617,0.336816,0.737196,0.813458,False
latent,latent_ch2,2,-4.01077,1.67623,-2.39274,0.019227,0.0585964,False
latent,latent_ch3,3,-2.89199,1.39487,-2.07331,0.0415781,0.104353,False
latent,latent_ch4,4,5.36618,1.49689,3.58489,0.000597363,0.00332445,True
latent,latent_ch5,5,6.19236,1.03023,6.01063,6.19998e-08,3.96799e-06,True
latent,latent_ch6,6,5.05666,1.88592,2.68127,0.00901459,0.0320519,True
latent,latent_ch7,7,-1.87805,1.52834,-1.22882,0.222982,0.380556,False
latent,latent_ch8,8,-0.178922,1.53005,-0.116939,0.907221,0.936486,False
latent,latent_ch9,9,-0.474405,1.37843,-0.344163,0.731687,0.813458,False
latent,latent_ch10,10,-5.34482,1.36394,-3.91866,0.000194989,0.00138659,True
latent,latent_ch11,11,-2.41738,1.42032,-1.702,0.0928972,0.189268,False
latent,latent_ch12,12,6.25711,1.66118,3.76666,0.000326994,0.00209276,True
latent,latent_ch13,13,-1.43392,1.33796,-1.07172,0.287283,0.465471,False
latent,latent_ch14,14,-0.625306,1.41456,-0.442048,0.659726,0.763839,False
latent,latent_ch15,15,-3.33649,1.04485,-3.19328,0.00205692,0.00975132,True
latent,latent_ch16,16,-0.451832,1.82747,-0.247244,0.805395,0.854882,False
latent,latent_ch17,17,-1.93733,1.53286,-1.26386,0.210193,0.363577,False
latent,latent_ch18,18,-0.764333,1.51467,-0.50462,0.615305,0.746305,False
latent,latent_ch19,19,-1.7141,1.83953,-0.931812,0.354424,0.546581,False
latent,latent_ch20,20,5.85842,1.17719,4.97663,4.00537e-06,7.32411e-05,True
latent,latent_ch21,21,-6.99249,1.91658,-3.64843,0.00048487,0.00282106,True
latent,latent_ch22,22,-2.88221,0.985542,-2.9245,0.00456077,0.0176903,True
latent,latent_ch23,23,0.554406,1.37949,0.401892,0.688907,0.787322,False
latent,latent_ch24,24,-3.08037,2.20762,-1.39534,0.167032,0.296946,False
latent,latent_ch25,25,-0.318777,1.80151,-0.17695,0.860025,0.902321,False
latent,latent_ch26,26,0.348623,1.43056,0.243697,0.808131,0.854882,False
latent,latent_ch27,27,-0.758819,1.16604,-0.650766,0.517186,0.695219,False
latent,latent_ch28,28,-7.1092,1.33033,-5.34392,9.42821e-07,4.0227e-05,True
latent,latent_ch29,29,-1.14919,1.62245,-0.708302,0.480953,0.660874,False
latent,latent_ch30,30,-4.84846,1.15541,-4.1963,7.36747e-05,0.000725412,True
latent,latent_ch31,31,3.62504,1.43217,2.53116,0.0134631,0.0430821,True
latent,latent_ch32,32,-4.65655,1.34885,-3.45223,0.000916978,0.00462558,True
latent,latent_ch33,33,3.36353,1.64681,2.04245,0.0446223,0.10984,False
latent,latent_ch34,34,-3.8478,1.80133,-2.13609,0.0359354,0.0938721,False
latent,latent_ch35,35,-3.40377,1.4959,-2.2754,0.025739,0.0732133,False
latent,latent_ch36,36,6.42442,1.86507,3.44461,0.00093957,0.00462558,True
