stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant
layer2,layer2_ch0,0,-197.468,24.3618,-8.10565,7.51097e-12,3.43359e-11,True
layer2,layer2_ch1,1,1032.46,467.892,2.20662,0.0304016,0.0347447,True
layer2,layer2_ch2,2,-174.312,22.5656,-7.72469,3.98044e-11,1.14865e-10,True
layer2,layer2_ch3,3,-150.935,21.2875,-7.09033,6.2856e-10,9.1427e-10,True
layer2,layer2_ch4,4,-175.793,24.451,-7.18959,4.08994e-10,6.88832e-10,True
layer2,layer2_ch5,5,-154.447,22.5165,-6.85926,1.70243e-09,2.3686e-09,True
layer2,layer2_ch6,6,1031.68,125.363,8.22961,4.36187e-12,2.32633e-11,True
layer2,layer2_ch7,7,-143.92,17.9892,-8.00033,1.19153e-11,4.76611e-11,True
layer2,layer2_ch8,8,-130.415,17.031,-7.65748,5.33875e-11,1.14865e-10,True
layer2,layer2_ch9,9,-133.889,18.7856,-7.12721,5.35854e-10,8.57366e-10,True
layer2,layer2_ch10,10,-137.816,18.0021,-7.65554,5.38428e-11,1.14865e-10,True
layer2,layer2_ch11,11,-119.436,15.4172,-7.7469,3.61218e-11,1.14865e-10,True
layer2,layer2_ch12,12,-149.149,20.217,-7.37738,1.8098e-10,3.21743e-10,True
layer2,layer2_ch13,13,-147.797,21.89,-6.75178,2.70046e-09,3.60062e-09,True
layer2,layer2_ch14,14,2130.71,252.173,8.44939,1.66351e-12,1.33081e-11,True
layer2,layer2_ch15,15,-226.445,29.567,-7.65873,5.30975e-11,1.14865e-10,True
layer2,layer2_ch16,16,2615.39,299.895,8.721,5.05472e-13,8.08755e-12,True
layer2,layer2_ch17,17,1126.13,111.549,10.0953,1.26539e-15,4.04926e-14,True
layer2,layer2_ch18,18,-32.3687,685.235,-0.0472374,0.96245,0.96245,False
layer2,layer2_ch19,19,-103.104,14.4905,-7.1153,5.64194e-10,8.59725e-10,True
layer2,layer2_ch20,20,-146.909,19.4919,-7.53691,9.03512e-11,1.70073e-10,True
layer2,layer2_ch21,21,-147.73,18.8223,-7.84866,2.3147e-11,8.23005e-11,True
layer2,layer2_ch22,22,1005.29,519.644,1.93457,0.0568146,0.062692,False
layer2,layer2_ch23,23,797.921,96.0766,8.30504,3.13326e-12,2.00529e-11,True
layer2,layer2_ch24,24,-694.993,185.362,-3.74938,0.000346529,0.000426497,True
layer2,layer2_ch25,25,-116.246,15.2391,-7.62814,6.0685e-11,1.2137e-10,True
layer2,layer2_ch26,26,-131.095,17.0843,-7.67338,4.98063e-11,1.14865e-10,True
layer2,layer2_ch27,27,-491.121,124.029,-3.95972,0.000169241,0.000216628,True
layer2,layer2_ch28,28,-617.845,704.864,-0.876546,0.383532,0.395904,False
layer2,layer2_ch29,29,1613.62,189.793,8.502,1.32071e-12,1.33081e-11,True
layer2,layer2_ch30,30,1831.55,498.174,3.67653,0.000441822,0.000523641,True
layer2,layer2_ch31,31,972.408,607.254,1.60132,0.11351,0.121077,False
