stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
latent,latent_ch0,0,-0.0383527,0.448437,-0.0855253,0.932133,0.992412,False,59
latent,latent_ch1,1,-0.500177,0.454697,-1.10002,0.27579,0.780052,False,59
latent,latent_ch2,2,-0.260533,0.479171,-0.543717,0.588685,0.933699,False,59
latent,latent_ch3,3,-0.10582,0.322268,-0.328362,0.743801,0.952065,False,59
latent,latent_ch4,4,0.318902,0.362307,0.880198,0.382323,0.88977,False,59
latent,latent_ch5,5,0.413461,0.485286,0.851995,0.397662,0.908942,False,59
latent,latent_ch6,6,-0.207694,0.310845,-0.668159,0.506638,0.933699,False,59
latent,latent_ch7,7,-0.085903,0.374816,-0.229187,0.819516,0.985628,False,59
latent,latent_ch8,8,-0.479546,0.401439,-1.19457,0.237037,0.76109,False,59
latent,latent_ch9,9,0.214355,0.435102,0.492654,0.624086,0.933699,False,59
latent,latent_ch10,10,1.24259,0.602521,2.06232,0.0435894,0.619938,False,59
latent,latent_ch11,11,0.201588,0.419302,0.48077,0.632458,0.933699,False,59
latent,latent_ch12,12,-0.685031,0.375768,-1.82302,0.0733683,0.642647,False,59
latent,latent_ch13,13,-0.288001,0.630184,-0.457012,0.649341,0.933699,False,59
latent,latent_ch14,14,0.232916,0.356774,0.65284,0.516395,0.933699,False,59
latent,latent_ch15,15,0.155807,0.348531,0.447038,0.656484,0.933699,False,59
latent,latent_ch16,16,0.823198,0.452524,1.81913,0.0739678,0.642647,False,59
latent,latent_ch17,17,-0.244993,0.349818,-0.700346,0.486464,0.933699,False,59
latent,latent_ch18,18,0.311069,0.392922,0.791681,0.431718,0.92989,False,59
latent,latent_ch19,19,0.39143,0.35373,1.10658,0.272967,0.780052,False,59
latent,latent_ch20,20,0.45876,0.329765,1.39117,0.169397,0.749148,False,59
latent,latent_ch21,21,0.0882396,0.476896,0.185029,0.853841,0.985628,False,59
latent,latent_ch22,22,0.11172,0.266021,0.419968,0.676034,0.933699,False,59
