stage,feature,channel,beta1,se,t,p_uncorr,q_bh,significant,df_resid
layer3,layer3_ch0,0,84.348,76.9293,1.09644,0.277344,0.295833,False,59
layer3,layer3_ch1,1,-49.7167,12.6507,-3.92997,0.000225574,0.000902297,True,59
layer3,layer3_ch2,2,290.947,108.625,2.67845,0.00956704,0.0146647,True,59
layer3,layer3_ch3,3,-59.8285,14.7977,-4.04308,0.000155057,0.000774921,True,59
layer3,layer3_ch4,4,-87.183,28.7101,-3.03666,0.00355822,0.00599278,True,59
layer3,layer3_ch5,5,-64.5542,32.1684,-2.00676,0.0493647,0.0607566,False,59
layer3,layer3_ch6,6,-59.0392,14.6725,-4.02381,0.000165344,0.000774921,True,59
layer3,layer3_ch7,7,-48.9488,44.4785,-1.1005,0.275582,0.295833,False,59
layer3,layer3_ch8,8,-70.323,25.0228,-2.81035,0.00670457,0.0110024,True,59
layer3,layer3_ch9,9,-50.3209,35.3273,-1.42442,0.159594,0.179193,False,59
layer3,layer3_ch10,10,-74.6736,23.0304,-3.2424,0.00195192,0.00390384,True,59
layer3,layer3_ch11,11,-73.6185,27.8337,-2.64494,0.0104541,0.0155596,True,59
layer3,layer3_ch12,12,-74.1837,18.4705,-4.01632,0.000169514,0.000774921,True,59
layer3,layer3_ch13,13,-65.9799,15.2412,-4.32906,5.88116e-05,0.000376394,True,59
layer3,layer3_ch14,14,-55.1894,13.046,-4.23036,8.24601e-05,0.000479768,True,59
layer3,layer3_ch15,15,119.072,51.5929,2.30792,0.0245282,0.0320368,True,59
layer3,layer3_ch16,16,-62.4103,20.1111,-3.10328,0.00293682,0.00552813,True,59
layer3,layer3_ch17,17,-88.9134,19.746,-4.50285,3.21747e-05,0.000228798,True,59
layer3,layer3_ch18,18,270.505,42.596,6.35048,3.36486e-08,1.07675e-06,True,59
layer3,layer3_ch19,19,-53.2194,15.0742,-3.5305,0.000811748,0.00225878,True,59
layer3,layer3_ch20,20,-47.0466,42.1218,-1.11692,0.268557,0.295833,False,59
layer3,layer3_ch21,21,-57.1184,16.3496,-3.49357,0.00091043,0.00242781,True,59
layer3,layer3_ch22,22,-51.7698,14.9849,-3.45479,0.00102628,0.00262729,True,59
layer3,layer3_ch23,23,236.179,85.5355,2.76118,0.00766406,0.0122625,True,59
layer3,layer3_ch24,24,-106.949,22.3873,-4.77722,1.21787e-05,9.74293e-05,True,59
layer3,layer3_ch25,25,-68.2499,20.4751,-3.33331,0.0014865,0.0031712,True,59
layer3,layer3_ch26,26,-79.8192,25.1553,-3.17306,0.00239579,0.00464638,True,59
layer3,layer3_ch27,27,-47.0633,15.3925,-3.05755,0.00335131,0.00580878,True,59
layer3,layer3_ch28,28,-139.232,45.5021,-3.05989,0.00332877,0.00580878,True,59
layer3,layer3_ch29,29,-60.0016,17.7175,-3.38657,0.00126475,0.00304605,True,59
layer3,layer3_ch30,30,-48.4851,12.9642,-3.73992,0.000418468,0.00140958,True,59
layer3,layer3_ch31,31,-75.4267,33.7175,-2.23702,0.0290769,0.0372184,True,59
layer3,layer3_ch32,32,-37.6476,20.309,-1.85374,0.0687778,0.0830525,False,59
layer3,layer3_ch33,33,40.1522,44.7345,0.897565,0.373065,0.391413,False,59
layer3,layer3_ch34,34,-89.8341,23.7823,-3.77735,0.000370966,0.00131899,True,59
layer3,layer3_ch35,35,-49.3698,14.6525,-3.36938,0.00133265,0.00304605,True,59
layer3,layer3_ch36,36,-101.294,19.7589,-5.12651,3.43159e-06,4.40679e-05,True,59
layer3,layer3_ch37,37,200.208,55.4159,3.61283,0.000627094,0.00191114,True,59
layer3,layer3_ch38,38,-70.4174,32.0895,-2.19441,0.0321556,0.0403521,True,59
layer3,layer3_ch39,39,-79.9156,20.0574,-3.98434,0.000188499,0.000804262,True,59
layer3,layer3_ch40,40,-78.5238,22.0446,-3.56204,0.000735594,0.00213991,True,59
layer3,layer3_ch41,41,-63.0044,18.667,-3.37518,0.00130939,0.00304605,True,59
layer3,layer3_ch42,42,-76.8176,30.6673,-2.50487,0.0150314,0.0209132,True,59
layer3,layer3_ch43,43,403.031,78.6306,5.12562,3.44281e-06,4.40679e-05,True,59
layer3,layer3_ch44,44,-104.853,61.7864,-1.69702,0.0949626,0.110502,False,59
layer3,layer3_ch45,45,-119.216,19.4069,-6.14297,7.47901e-08,1.59552e-06,True,59
layer3,layer3_ch46,46,-63.6422,40.8313,-1.55866,0.124425,0.1422,False,59
layer3,layer3_ch47,47,-88.2221,32.9651,-2.67623,0.00962372,0.0146647,True,59
layer3,layer3_ch48,48,-85.5125,25.6407,-3.33503,0.00147876,0.0031712,True,59
layer3,layer3_ch49,49,-98.9455,54.9375,-1.80105,0.0768053,0.0910285,False,59
layer3,layer3_ch50,50,-94.6773,39.0959,-2.42167,0.0185421,0.0247227,True,59
layer3,layer3_ch51,51,-141.323,55.2428,-2.55822,0.0131087,0.0186435,True,59
layer3,layer3_ch52,52,225.708,62.2317,3.62689,0.000599854,0.00191114,True,59
layer3,layer3_ch53,53,-69.7416,26.5117,-2.6306,0.0108563,0.015791,True,59
layer3,layer3_ch54,54,-38.1491,43.5708,-0.875565,0.384817,0.397231,False,59
layer3,layer3_ch55,55,-127.581,39.0942,-3.26341,0.00183349,0.00378527,True,59
layer3,layer3_ch56,56,-74.7897,15.3788,-4.86317,8.94335e-06,8.17678e-05,True,59
layer3,layer3_ch57,57,-24.142,69.5337,-0.347198,0.729678,0.74126,False,59
layer3,layer3_ch58,58,-83.9824,33.7685,-2.48701,0.0157302,0.0214198,True,59
